truth,dirty
12642192,12642183
12642228,12642230
12642264,12642264
12642300,12642302
12642336,12642326
12642372,12642359
12642408,12642401
12642444,12642441
12642480,12642479
12642516,12642517
12642552,12642550
12642588,12642592
12642624,12642619
12642660,12642652
12642696,12642684
12648240,12648232
12648276,12648277
12648312,12648315
12648348,12648346
12648384,12648378
12648420,12648421
12648456,12648456
12648492,12648492
12648528,12648521
12648564,12648546
12655476,12655468
12655512,12655509
12655548,12655536
12655584,12655586
12655620,12655612
12655656,12655653
12655692,12655687
12655728,12655721
12655764,12655756
12655800,12655800
12655836,12655830
12655872,12655870
12655908,12655900
12655944,12655937
12655980,12655979
12656016,12656016
12656052,12656048
12656088,12656077
12656124,12656129
12656160,12656152
12656196,12656185
12656232,12656240
12656268,12656262
12656304,12656293
12660264,12660255
12660300,12660304
12660336,12660333
12660372,12660375
12660408,12660401
12660444,12660436
12660480,12660478
12660516,12660504
12660552,12660550
12660588,12660585
12660624,12660625
12660660,12660660
12660696,12660690
12660732,12660723
12660768,12660772
12660804,12660797
12660840,12660831
12660876,12660867
12660912,12660913
12660948,12660942
12660984,12660977
12661020,12661017
12661056,12661051
12661092,12661085
12661128,12661128
12661164,12661165
12661200,12661200
12661236,12661236
12661272,12661271
12661308,12661296
12661344,12661348
12661380,12661378
12661416,12661416
12661452,12661453
12661488,12661491
12661524,12661523
12661560,12661559
12661596,12661590
12661632,12661629
12661668,12661660
12661704,12661697
12661740,12661732
12661776,12661772
12661812,12661813
12661848,12661859
12661884,12661881
12661920,12661910
12661956,12661958
12661992,12661987
12662028,12662021
12662064,12662062
12662100,12662090
12662136,12662134
12662172,12662168
12662208,12662205
12662244,12662242
12662280,12662277
12662316,12662313
12662352,12662350
12662388,12662387
12662424,12662415
12662460,12662449
12662496,12662492
12662532,12662521
12662568,12662565
12662604,12662604
12662640,12662640
12662676,12662667
12662712,12662704
12662748,12662746
12662784,12662778
12662820,12662815
12662856,12662855
12662892,12662884
12662928,12662922
12662964,12662956
12663000,12662991
12663036,12663028
12663072,12663072
12663108,12663105
12663144,12663136
12663180,12663175
12663216,12663204
12663252,12663245
12663288,12663294
12663324,12663320
12663360,12663360
12663396,12663392
12663432,12663430
12663468,12663468
12663504,12663495
12663540,12663536
12663576,12663579
12663612,12663605
12663648,12663642
12663684,12663679
12663720,12663718
12663756,12663755
12663792,12663794
12663828,12663827
12663864,12663860
12663900,12663902
12663936,12663936
12663972,12663961
12664008,12664016
12664044,12664048
12664080,12664076
12664116,12664114
12664152,12664154
12664188,12664184
12664224,12664224
12664260,12664261
12664296,12664287
12664332,12664325
12664368,12664368
12664404,12664403
12664440,12664440
12664476,12664472
12664512,12664507
12664548,12664535
12664584,12664575
12664620,12664617
12664656,12664656
12664692,12664691
12664728,12664724
12664764,12664759
12664800,12664798
12664836,12664833
12664872,12664875
12664908,12664905
12664944,12664933
12664980,12664970
12665016,12665019
12665052,12665043
12665088,12665088
12665124,12665119
12665160,12665156
12665196,12665192
12665232,12665234
12665268,12665264
12665304,12665300
12665340,12665329
12665376,12665374
12665412,12665411
12665448,12665446
12665484,12665486
12665520,12665517
12665556,12665554
12665592,12665596
12665628,12665617
12665664,12665658
12665700,12665703
12665736,12665736
12665772,12665772
12665808,12665808
12665844,12665842
12665880,12665884
12665916,12665914
12665952,12665950
12665988,12665985
12666024,12666021
12666060,12666051
12666096,12666096
12666132,12666128
12666168,12666173
12666204,12666200
12666240,12666239
12666276,12666274
12666312,12666305
12666348,12666348
12666384,12666389
12666420,12666416
12666456,12666451
12666492,12666487
12666528,12666515
12666564,12666560
12666600,12666598
12666636,12666637
12666672,12666672
12666708,12666702
12666744,12666739
12666780,12666781
12666816,12666812
12666852,12666846
12666888,12666890
12666924,12666925
12666960,12666957
12666996,12666990
12667032,12667018
12667068,12667067
12667104,12667096
12667140,12667127
12667176,12667179
12667212,12667212
12667248,12667239
12667284,12667274
12667320,12667320
12667356,12667348
12667392,12667394
12667428,12667428
12667464,12667463
12667500,12667499
12667536,12667533
12667572,12667572
12667608,12667602
12667644,12667641
12667680,12667680
12667716,12667715
12667752,12667743
12667788,12667782
12667824,12667822
12667860,12667854
12667896,12667900
12667932,12667927
12667968,12667964
12668004,12668004
12668040,12668038
12668076,12668072
12668112,12668105
12668148,12668146
12668184,12668185
12668220,12668219
12668256,12668249
12672432,12672432
12672468,12672467
12672504,12672496
12672540,12672549
12672576,12672575
12672612,12672619
12672648,12672652
12672684,12672680
12679596,12679592
12679632,12679626
12679668,12679669
12679704,12679702
12679740,12679737
12679776,12679776
12679812,12679811
12685392,12685380
12685428,12685428
12685464,12685464
12685500,12685495
12685536,12685527
12685572,12685568
12685608,12685600
12685644,12685636
12685680,12685676
12685716,12685707
12685752,12685750
12685788,12685788
12685824,12685816
12685860,12685850
12685896,12685899
12685932,12685924
12685968,12685961
12686004,12686002
12686040,12686039
12686076,12686071
12686112,12686111
12686148,12686142
12686184,12686176
12686220,12686223
12686256,12686264
12686292,12686296
12686328,12686325
12686364,12686369
12686400,12686398
12686436,12686430
12686472,12686471
12686508,12686504
12686544,12686536
12686580,12686572
12686616,12686616
12686652,12686639
12686688,12686688
12686724,12686712
12686760,12686746
12686796,12686783
12686832,12686837
12686868,12686864
12686904,12686901
12686940,12686943
12686976,12686976
12689964,12689956
12690000,12689999
12690036,12690032
12690072,12690067
12690108,12690096
12690144,12690143
12690180,12690179
12690216,12690208
12690252,12690252
12690288,12690278
12690324,12690320
12690360,12690355
12690396,12690386
12690432,12690429
12690468,12690472
12690504,12690501
12690540,12690534
12690576,12690575
12690612,12690609
12690648,12690645
12690684,12690678
12690720,12690723
12690756,12690755
12690792,12690786
12690828,12690824
12690864,12690857
12690900,12690893
12690936,12690929
12690972,12690963
12691008,12691008
12691044,12691039
12691080,12691079
12691116,12691109
12691152,12691148
12691188,12691181
12691224,12691224
12691260,12691255
12691296,12691289
12691332,12691320
12691368,12691366
12691404,12691397
12691440,12691436
12691476,12691470
12691512,12691512
12691548,12691547
12691584,12691583
12691620,12691613
12691656,12691655
12691692,12691696
12691728,12691720
12691764,12691761
12691800,12691788
12691836,12691838
12691872,12691867
12691908,12691908
12691944,12691932
12691980,12691984
12692016,12692011
12692052,12692051
12692088,12692085
12692124,12692119
12692160,12692164
12692196,12692184
12692232,12692230
12692268,12692268
12692304,12692300
12692340,12692336
12692376,12692372
12692412,12692402
12692448,12692445
12692484,12692483
12692520,12692517
12692556,12692551
12692592,12692586
12692628,12692623
12692664,12692666
12692700,12692686
12692736,12692733
12692772,12692767
12692808,12692811
12692844,12692841
12692880,12692883
12692916,12692902
12692952,12692951
12692988,12692986
12693024,12693026
12693060,12693048
12693096,12693092
12693132,12693129
12693168,12693162
12693204,12693206
12693240,12693235
12693276,12693282
12693312,12693313
12693348,12693348
12693384,12693383
12693420,12693411
12693456,12693450
12693492,12693491
12693528,12693528
12693564,12693566
12693600,12693594
12693636,12693628
12693672,12693672
12693708,12693700
12693744,12693744
12693780,12693781
12693816,12693815
12693852,12693847
12693888,12693885
12693924,12693923
12693960,12693957
12693996,12694002
12694032,12694024
12694068,12694059
12694104,12694096
12694140,12694134
12694176,12694162
12694212,12694205
12694248,12694241
12694284,12694281
12694320,12694319
12694356,12694346
12694392,12694392
12694428,12694433
12694464,12694459
12694500,12694503
12694536,12694533
12694572,12694577
12694608,12694609
12694644,12694633
12694680,12694677
12694716,12694717
12694752,12694749
12694788,12694784
12694824,12694826
12694860,12694853
12694896,12694893
12694932,12694930
12694968,12694963
12695004,12695000
12695040,12695040
12695076,12695075
12695112,12695104
12695148,12695139
12695184,12695177
12695220,12695217
12695256,12695252
12695292,12695284
12695328,12695322
12695364,12695353
12695400,12695399
12695436,12695432
12695472,12695462
12695508,12695505
12695544,12695546
12695580,12695573
12695616,12695618
12695652,12695647
12695688,12695685
12695724,12695721
12695760,12695763
12695796,12695793
12695832,12695823
12695868,12695858
12695904,12695893
12695940,12695928
12695976,12695973
12696012,12696004
12696048,12696044
12696084,12696077
12696120,12696113
12696156,12696150
12696192,12696192
12696228,12696228
12696264,12696262
12696300,12696292
12696336,12696336
12700008,12699990
12700044,12700035
12700080,12700076
12700116,12700119
12700152,12700145
12700188,12700187
12700224,12700226
12700260,12700257
12700296,12700292
12700332,12700322
12700368,12700358
12700404,12700403
12700440,12700435
12700476,12700473
12700512,12700508
12700548,12700548
12700584,12700577
12700620,12700615
12700656,12700661
12700692,12700685
12700728,12700723
12700764,12700758
12700800,12700799
12700836,12700837
12700872,12700866
12700908,12700902
12700944,12700939
12700980,12700979
12701016,12701009
12701052,12701047
12701088,12701073
12701124,12701114
12701160,12701156
12701196,12701196
12701232,12701230
12701268,12701259
12701304,12701293
12701340,12701337
12701376,12701364
12701412,12701413
12701448,12701445
12701484,12701472
12701520,12701512
12701556,12701549
12701592,12701585
12701628,12701617
12701664,12701656
12701700,12701693
12701736,12701729
12701772,12701773
12701808,12701805
12701844,12701836
12701880,12701875
12701916,12701908
12701952,12701947
12701988,12701988
12702024,12702022
12702060,12702067
12702096,12702094
12702132,12702124
12702168,12702168
12702204,12702205
12702240,12702241
12702276,12702267
12702312,12702308
12702348,12702349
12702384,12702372
12702420,12702414
12702456,12702445
12702492,12702484
12702528,12702519
12702564,12702566
12702600,12702595
12702636,12702628
12702672,12702663
12702708,12702705
12702744,12702740
12702780,12702782
12702816,12702815
12702852,12702841
12702888,12702881
12702924,12702925
12702960,12702953
12702996,12703000
12703032,12703023
12703068,12703067
12703104,12703096
12703140,12703134
12703176,12703177
12703212,12703208
12703248,12703248
12703284,12703283
12703320,12703320
12703356,12703348
12703392,12703387
12703428,12703427
12703464,12703456
12703500,12703504
12703536,12703529
12703572,12703567
12703608,12703599
12703644,12703630
12703680,12703684
12703716,12703711
12703752,12703746
12703788,12703784
12703824,12703827
12703860,12703852
12703896,12703896
12703932,12703926
12703968,12703962
12704004,12704003
12704040,12704040
12704076,12704070
12704112,12704105
12704148,12704139
12704184,12704185
12704220,12704214
12704256,12704243
12704292,12704295
12704328,12704318
12704364,12704364
12704400,12704397
12704436,12704434
12704472,12704466
12704508,12704506
12704544,12704532
12704580,12704579
12704616,12704619
12704652,12704652
12704688,12704674
12704724,12704716
12704760,12704756
12704796,12704795
12704832,12704828
12704868,12704862
12704904,12704903
12704940,12704941
12704976,12704971
12705012,12705012
12705048,12705032
12705084,12705076
12705120,12705115
12705156,12705150
12705192,12705190
12705228,12705229
12705264,12705263
12705300,12705293
12711672,12711672
12711708,12711707
12711744,12711743
12711780,12711773
12711816,12711816
12711852,12711850
12711888,12711882
12711924,12711918
12711960,12711960
12711996,12711990
12712032,12712030
12712068,12712069
12712104,12712109
12712140,12712144
12712176,12712176
12712212,12712201
12712248,12712241
12712284,12712278
12712320,12712324
12712356,12712349
12712392,12712390
12712428,12712425
12712464,12712456
12712500,12712498
12712536,12712534
12712572,12712562
12712608,12712610
12712644,12712630
12712680,12712674
12712716,12712716
12712752,12712743
12712788,12712786
12712824,12712814
12712860,12712856
12712896,12712881
12712932,12712924
12712968,12712957
12713004,12712998
12713040,12713034
12713076,12713069
12713112,12713112
12713148,12713140
12713184,12713184
12713220,12713224
12713256,12713253
12713292,12713284
12713328,12713318
12713364,12713357
12713400,12713400
12713436,12713433
12713472,12713472
12713508,12713508
12713544,12713541
12713580,12713579
12713616,12713621
12713652,12713655
12713688,12713683
12713724,12713724
12713760,12713759
12713796,12713797
12713832,12713832
12713868,12713860
12713904,12713892
12713940,12713939
12713976,12713981
12714012,12714005
12714048,12714044
12714084,12714075
12714120,12714121
12720564,12720564
12720600,12720595
12720636,12720633
12720672,12720666
12720708,12720707
12720744,12720740
12720780,12720778
12720816,12720800
12720852,12720849
12720888,12720887
12720924,12720920
12720960,12720960
12720996,12720996
12721032,12721034
12721068,12721065
12721104,12721091
12721140,12721125
12721176,12721164
12721212,12721208
12721248,12721244
12721284,12721282
12721320,12721313
12721356,12721349
12721392,12721391
12721428,12721428
12721464,12721459
12721500,12721496
12721536,12721535
12721572,12721571
12721608,12721599
12726720,12726720
12726756,12726753
12726792,12726783
12726828,12726819
12726864,12726861
12726900,12726907
12726936,12726931
12726972,12726967
12727008,12727011
12727044,12727040
12727080,12727069
12727116,12727105
12727152,12727154
12727188,12727188
12727224,12727224
12727260,12727256
12727296,12727289
12727332,12727327
12727368,12727365
12727404,12727396
12727440,12727439
12727476,12727466
12727512,12727507
12727548,12727543
12727584,12727577
12727620,12727605
12727656,12727655
12732300,12732295
12732336,12732333
12732372,12732361
12732408,12732397
12732444,12732441
12732480,12732473
12732516,12732512
12732552,12732552
12732588,12732584
12732624,12732606
12732660,12732656
12732696,12732690
12732732,12732727
12732768,12732768
12732804,12732793
12732840,12732838
12732876,12732879
12732912,12732905
12732948,12732947
12732984,12732984
12733020,12733018
12733056,12733049
12733092,12733085
12733128,12733128
12733164,12733163
12733200,12733193
12733236,12733227
12733272,12733262
12733308,12733312
12733344,12733340
12733380,12733387
12733416,12733415
12733452,12733451
12733488,12733486
12733524,12733524
12733560,12733552
12733596,12733602
12733632,12733628
12733668,12733661
12733704,12733702
12733740,12733741
12733776,12733767
12733812,12733811
12733848,12733841
12733884,12733878
12733920,12733914
12733956,12733956
12733992,12733983
12734028,12734025
12734064,12734059
12734100,12734092
12734136,12734126
12734172,12734162
12734208,12734196
12734244,12734244
12734280,12734275
12734316,12734313
12734352,12734353
12734388,12734378
12734424,12734416
12734460,12734458
12734496,12734483
12734532,12734526
12734568,12734560
12734604,12734602
12734640,12734634
12734676,12734682
12734712,12734712
12734748,12734740
12734784,12734779
12734820,12734815
12734856,12734868
12734892,12734881
12734928,12734926
12734964,12734950
12735000,12734996
12735036,12735041
12735072,12735066
12735108,12735109
12737556,12737555
12737592,12737592
12737628,12737625
12737664,12737665
12737700,12737702
12737736,12737724
12737772,12737771
12737808,12737804
12737844,12737842
12737880,12737881
12737916,12737908
12737952,12737940
12737988,12737989
12738024,12738016
12738060,12738053
12738096,12738094
12738132,12738125
12738168,12738157
12738204,12738201
12738240,12738233
12738276,12738275
12738312,12738306
12738348,12738341
12738384,12738379
12738420,12738421
12738456,12738456
12738492,12738483
12738528,12738537
12738564,12738559
12738600,12738591
12738636,12738636
12738672,12738667
12738708,12738714
12738744,12738744
12738780,12738776
12738816,12738819
12738852,12738852
12738888,12738878
12738924,12738924
12738960,12738954
12738996,12738992
12739032,12739029
12739068,12739060
12739104,12739094
12739140,12739138
12739176,12739166
12739212,12739196
12739248,12739240
12739284,12739282
12739320,12739315
12739356,12739358
12739392,12739389
12739428,12739421
12739464,12739458
12739500,12739489
12739536,12739537
12742560,12742557
12742596,12742601
12742632,12742629
12742668,12742659
12742704,12742691
12742740,12742733
12742776,12742764
12742812,12742812
12742848,12742848
12742884,12742876
12742920,12742920
12742956,12742950
12742992,12742988
12743028,12743026
12743064,12743058
12743100,12743099
12743136,12743124
12743172,12743169
12743208,12743204
12743244,12743230
12743280,12743267
12743316,12743303
12743352,12743351
12743388,12743385
12743424,12743422
12743460,12743450
12743496,12743497
12743532,12743532
12743568,12743561
12743604,12743605
12743640,12743635
12743676,12743664
12743712,12743700
12743748,12743748
12743784,12743780
12743820,12743820
12743856,12743852
12743892,12743890
12743928,12743934
12743964,12743966
12744000,12743994
12744036,12744034
12744072,12744071
12744108,12744108
12744144,12744141
12744180,12744174
12744216,12744212
12744252,12744246
12744288,12744292
12744324,12744326
12744360,12744355
12744396,12744395
12744432,12744428
12744468,12744469
12744504,12744505
12744540,12744539
12744576,12744576
12744612,12744612
12744648,12744649
12744684,12744683
12744720,12744717
12744756,12744750
12744792,12744781
12744828,12744824
12744864,12744857
12744900,12744897
12747240,12747239
12747276,12747269
12747312,12747304
12747348,12747353
12747384,12747377
12747420,12747414
12747456,12747444
12747492,12747496
12747528,12747526
12747564,12747562
12747600,12747600
12747636,12747626
12747672,12747666
12747708,12747704
12747744,12747733
12747780,12747782
12747816,12747812
12747852,12747847
12747888,12747886
12747924,12747917
12747960,12747957
12747996,12748009
12748032,12748032
12748068,12748072
12748104,12748099
12748140,12748133
12748176,12748174
12748212,12748202
12748248,12748233
12748284,12748284
12748320,12748320
12748356,12748356
12748392,12748389
12748428,12748433
12748464,12748460
12748500,12748494
12748536,12748517
12748572,12748568
12748608,12748608
12748644,12748641
12748680,12748681
12748716,12748723
12748752,12748748
12748788,12748790
12748824,12748813
12748860,12748861
12748896,12748893
12748932,12748927
12748968,12748964
12749004,12749000
12749040,12749035
12749076,12749073
12749112,12749108
12749148,12749139
12749184,12749183
12749220,12749213
12749256,12749257
12749292,12749288
12749328,12749325
12749364,12749350
12749400,12749390
12749436,12749436
12749472,12749465
12749508,12749502
12749544,12749539
12749580,12749582
12749616,12749614
12749652,12749654
12754512,12754513
12754548,12754536
12754584,12754572
12754620,12754612
12754656,12754648
12754692,12754683
12754728,12754726
12754764,12754758
12754800,12754802
12754836,12754839
12754872,12754868
12754908,12754912
12754944,12754941
12754980,12754974
12755016,12755013
12755052,12755052
12755088,12755076
12755124,12755119
12755160,12755158
12755196,12755194
12755232,12755227
12755268,12755267
12755304,12755302
12755340,12755334
12755376,12755382
12755412,12755411
12755448,12755443
12755484,12755478
12755520,12755521
12755556,12755553
12755592,12755600
12755628,12755622
12755664,12755654
12755700,12755696
12755736,12755733
12755772,12755758
12755808,12755803
12755844,12755839
12755880,12755875
12755916,12755909
12755952,12755942
12755988,12755988
12756024,12756018
12756060,12756051
12756096,12756089
12756132,12756126
12756168,12756165
12756204,12756204
12756240,12756232
12756276,12756270
12756312,12756302
12756348,12756328
12756384,12756381
12756420,12756423
12756456,12756455
12756492,12756486
12756528,12756525
12756564,12756555
12756600,12756596
12756636,12756630
12756672,12756664
12756708,12756707
12756744,12756752
12756780,12756784
12756816,12756812
12756852,12756852
12756888,12756888
12756924,12756917
12756960,12756960
12756996,12756985
12757032,12757024
12757068,12757066
12757104,12757098
12757140,12757144
12757176,12757176
12757212,12757207
12757248,12757242
12757284,12757281
12757320,12757311
12757356,12757355
12757392,12757382
12757428,12757428
12757464,12757460
12757500,12757499
12757536,12757527
12757572,12757570
12757608,12757616
12757644,12757638
12757680,12757678
12757716,12757719
12757752,12757752
12757788,12757787
12757824,12757815
12757860,12757850
12757896,12757893
12757932,12757926
12757968,12757964
12758004,12758002
12758040,12758033
12758076,12758075
12758112,12758117
12758148,12758139
12758184,12758178
12758220,12758216
12758256,12758257
12758292,12758283
12758328,12758319
12758364,12758350
12758400,12758394
12758436,12758436
12758472,12758473
12758508,12758506
12758544,12758537
12758580,12758580
12758616,12758614
12758652,12758639
12758688,12758678
12758724,12758727
12758760,12758758
12758796,12758786
12758832,12758832
12758868,12758869
12758904,12758898
12758940,12758940
12758976,12758954
12759012,12759012
12759048,12759049
12759084,12759075
12759120,12759118
12759156,12759151
12759192,12759188
12759228,12759222
12759264,12759254
12759300,12759305
12759336,12759331
12759372,12759369
12759408,12759399
12759444,12759435
12759480,12759479
12759516,12759515
12759552,12759552
12759588,12759589
12759624,12759619
12759660,12759654
12759696,12759696
12759732,12759725
12759768,12759768
12759804,12759802
12759840,12759841
12759876,12759876
12759912,12759903
12759948,12759940
12759984,12759984
12760020,12760025
12760056,12760046
12760092,12760089
12760128,12760126
12760164,12760153
12760200,12760199
12760236,12760232
12760272,12760258
12760308,12760312
12760344,12760336
12760380,12760370
12760416,12760415
12760452,12760451
12760488,12760488
12760524,12760519
12760560,12760556
12760596,12760589
12760632,12760622
12760668,12760669
12760704,12760700
12760740,12760736
12760776,12760763
12760812,12760808
12760848,12760840
12760884,12760880
12760920,12760915
12760956,12760950
12760992,12760992
12761028,12761027
12761064,12761065
12761100,12761090
12761136,12761129
12761172,12761168
12761208,12761202
12761244,12761240
12761280,12761271
12761316,12761309
12761352,12761340
12761388,12761380
12761424,12761424
12761460,12761455
12761496,12761499
12761532,12761526
12761568,12761565
12761604,12761594
12761640,12761649
12761676,12761672
12761712,12761712
12761748,12761747
12761784,12761778
12761820,12761810
12761856,12761853
12761892,12761886
12761928,12761924
12761964,12761964
12762000,12761997
12762036,12762034
12762072,12762069
12762108,12762097
12762144,12762146
12762180,12762181
12762216,12762207
12762252,12762251
12762288,12762281
12762324,12762317
12762360,12762356
12762396,12762400
12762432,12762433
12762468,12762468
12762504,12762495
12762540,12762548
12762576,12762576
12762612,12762597
12762648,12762646
12762684,12762678
12762720,12762719
12762756,12762755
12762792,12762784
12762828,12762833
12762864,12762861
12762900,12762900
12762936,12762938
12762972,12762965
12763008,12763000
12763044,12763045
12763080,12763082
12763116,12763106
12763152,12763158
12763188,12763183
12763224,12763224
12763260,12763259
12763296,12763288
12763332,12763324
12763368,12763354
12763404,12763395
12763440,12763429
12763476,12763473
12763512,12763514
12763548,12763544
12763584,12763582
12763620,12763620
12763656,12763656
12763692,12763687
12763728,12763717
12763764,12763758
12763800,12763797
12763836,12763828
12763872,12763870
12763908,12763903
12763944,12763944
12763980,12763972
12764016,12764008
12764052,12764056
12764088,12764085
12764124,12764123
12764160,12764151
12764196,12764191
12764232,12764232
12764268,12764271
12764304,12764297
12764340,12764332
12764376,12764372
12764412,12764401
12764448,12764444
12764484,12764480
12764520,12764520
12764556,12764559
12764592,12764591
12764628,12764628
12764664,12764661
12764700,12764695
12764736,12764723
12764772,12764764
12764808,12764806
12764844,12764832
12764880,12764878
12764916,12764910
12764952,12764943
12764988,12764982
12765024,12765024
12765060,12765060
12765096,12765083
12765132,12765128
12765168,12765168
12765204,12765199
12765240,12765237
12765276,12765265
12765312,12765306
12772512,12772506
12772548,12772545
12772584,12772580
12772620,12772620
12772656,12772652
12772692,12772692
12776256,12776248
12776292,12776288
12776328,12776323
12776364,12776356
12776400,12776394
12776436,12776426
12776472,12776458
12776508,12776505
12776544,12776545
12776580,12776584
12776616,12776607
12776652,12776658
12776688,12776691
12776724,12776727
12776760,12776753
12776796,12776790
12776832,12776819
12776868,12776865
12776904,12776899
12776940,12776937
12776976,12776968
12777012,12777012
12777048,12777046
12777084,12777075
12777120,12777116
12777156,12777154
12777192,12777198
12777228,12777225
12777264,12777256
12777300,12777295
12777336,12777332
12777372,12777368
12777408,12777395
12777444,12777439
12777480,12777473
12777516,12777511
12777552,12777558
12777588,12777580
12777624,12777627
12777660,12777661
12777696,12777696
12777732,12777729
12777768,12777768
12777804,12777798
12777840,12777834
12777876,12777869
12777912,12777910
12777948,12777943
12777984,12777979
12778020,12778023
12778056,12778049
12778092,12778092
12778128,12778122
12778164,12778153
12778200,12778189
12778236,12778230
12778272,12778272
12778308,12778308
12778344,12778339
12778380,12778380
12778416,12778413
12778452,12778447
12778488,12778488
12778524,12778525
12778560,12778561
12778596,12778591
12778632,12778631
12778668,12778654
12778704,12778701
12778740,12778738
12778776,12778773
12778812,12778807
12778848,12778850
12778884,12778880
12778920,12778916
12778956,12778951
12778992,12778993
12779028,12779023
12779064,12779056
12779100,12779096
12779136,12779140
12779172,12779167
12779208,12779208
12779244,12779239
12779280,12779275
12779316,12779310
12779352,12779342
12779388,12779384
12779424,12779424
12779460,12779463
12779496,12779495
12779532,12779524
12779568,12779568
12779604,12779603
12779640,12779642
12779676,12779682
12779712,12779714
12779748,12779743
12779784,12779780
12779820,12779821
12779856,12779850
12779892,12779888
12779928,12779928
12779964,12779965
12780000,12779998
12780036,12780018
12780072,12780070
12780108,12780103
12780144,12780136
12780180,12780177
12780216,12780217
12780252,12780243
12780288,12780291
12780324,12780324
12780360,12780360
12780396,12780388
12780432,12780427
12780468,12780463
12780504,12780501
12780540,12780536
12780576,12780571
12780612,12780608
12780648,12780643
12780684,12780682
12780720,12780708
12780756,12780755
12780792,12780796
12780828,12780829
12780864,12780856
12780900,12780901
12780936,12780943
12780972,12780967
12781008,12781008
12781044,12781051
12781080,12781081
12781116,12781119
12781152,12781143
12781188,12781186
12781224,12781222
12781260,12781259
12781296,12781296
12781332,12781329
12781368,12781358
12781404,12781405
12781440,12781438
12781476,12781467
12781512,12781512
12781548,12781547
12781584,12781583
12781620,12781615
12781656,12781660
12781692,12781691
